item,description,price,condition,dimension_w,dimension_l,dimension_h,quantity,category
Three Vintage Midcentury Stacking Bamboo Tables,"Three Vintage Midcentury Stacking Bamboo Tables. Featured in three shades of red, green, and a natural wood color.",330,very good,16,18,33,1,tables
Vintage Mid Century Teak Coffee Table,"A vintage Mid Century Teak Coffee table. Beautiful teak wood is the medium for this classy coffee table, it features a lower storage space, part cross beam, part wicker, a classic mid century design. This table would look great in any modern space.",900,very good,50,18,17,1,tables
Handcrafted Brayton Coupe Grande Club Chairs,Two handcrafted Brayton Coupe Grande Chairs with rivergrass upholstery. Brushed aluminum legs and foam cushions. One of the chairs has mechanism for a table/tray. Some fading to fabric.,1800,good,32,38,30,2,seating
Herman Miller Ray Wilkes Chiclet Lounge Chairs,"This is a Herman Miller-manufactured, Ray Wilkes-designed Chiclet Lounge Chair Upholstered in a lipstick wool blend fabric. The lounge was named because the individual pieces resemble large pieces of Chiclet gum.",850,very good,31,32,27,3,seating
Vintage Mid Century Modern Danish Teak Platform Bed,All teak construction. Two nightstands attached with two drawers and two recessed pulls each. Pull out under bed storage.,4900,very good,125,94,30,3,bedroom
Mid-Century Full Sized Bed Frame ,"This is a nice piece of vintage Heywood Wakefield furniture. Its in good Vintage condition, and features a Champagne finish. This bed is full sized for a regular double mattress. A great addition for a Retro furnished bedroom.",495,good,56,79,33,2,bedroom
Vintage Florence Knoll Walnut and Cane Credenza Buffet,Credenza constructed of walnut with sliding cane doors. Metal stick legs on glides. Leather pulls. This piece is built to last a lifetime - or several lifetimes.,9000,excellent,72,20,31,1,storage
Founders Orange Lacquer Credenza,Expressive graffiti special edition credenza. Four Drawers. Metal Legs and Trim. Metal Drawer Pulls.,4200,very good,65,18,29,0,storage
Regency Writing R Way Cherry Wood Brass Desk,Brass pulls and caps. Originally sold and distributed from Northern Furniture Company in 1916.,2800,good,60,28,31,1,desks
Mid Century Modern Adjustable Desk,Red laminate surface. Adjustable height. Steel legs with roller wheels.,750,average,36,24,,2,desks
Round White Granite Top and Chrome Base Dining Table,Round Green Granite Top with 4 star polished chrome base. Granite is 1.5” thick with knife edge.,1900,very good,54,54,30,1,tables
Oval Green Granite Top and Steel Base Dining Table,Vintage dining table with granite top and steel base in the style of Paul McCobb.,2700,excellent,68,42,32,2,tables
Saarinen Knoll Tulip Base Maple Dining Table,"This classic design of Eero Saarinen is one that has endured through the years Originally designed in 1956. Top is maple with beveled edge. Base is
heavy molded cast aluminum strap-polished and coated in tough abrasion-resistant finish. Base color is white.",3200,excellent,42,42,32,2,tables
